iter	Passed	Remaining
1253	4611	2743
1254	4615	2739
1255	4618	2736
1256	4622	2732
1257	4626	2728
1258	4629	2725
1259	4633	2721
1260	4637	2717
1261	4640	2713
1262	4644	2710
1263	4647	2706
1264	4651	2702
1265	4655	2699
1266	4658	2695
1267	4662	2691
1268	4666	2688
1269	4669	2684
1270	4673	2680
1271	4676	2676
1272	4680	2672
1273	4683	2669
1274	4687	2665
1275	4691	2661
1276	4695	2658
1277	4698	2654
1278	4702	2650
1279	4706	2647
1280	4709	2643
1281	4713	2639
1282	4717	2636
1283	4720	2632
1284	4724	2628
1285	4728	2625
1286	4732	2621
1287	4735	2617
1288	4738	2613
1289	4742	2610
1290	4746	2606
1291	4750	2602
1292	4753	2599
1293	4757	2595
1294	4760	2591
1295	4764	2587
1296	4767	2584
1297	4771	2580
1298	4774	2576
1299	4778	2573
1300	4781	2569
1301	4785	2565
1302	4789	2561
1303	4793	2558
1304	4796	2554
1305	4800	2550
1306	4804	2547
1307	4808	2543
1308	4812	2540
1309	4815	2536
1310	4819	2532
1311	4822	2529
1312	4826	2525
1313	4830	2521
1314	4833	2517
1315	4837	2514
1316	4840	2510
1317	4844	2506
1318	4847	2503
1319	4851	2499
1320	4855	2495
1321	4858	2491
1322	4862	2488
1323	4865	2484
1324	4869	2480
1325	4872	2476
1326	4876	2473
1327	4879	2469
1328	4883	2465
1329	4887	2461
1330	4890	2458
1331	4894	2454
1332	4897	2450
1333	4900	2446
1334	4904	2443
1335	4908	2439
1336	4911	2435
1337	4915	2431
1338	4918	2428
1339	4922	2424
1340	4925	2420
1341	4929	2417
1342	4933	2413
1343	4937	2409
1344	4940	2406
1345	4944	2402
1346	4947	2398
1347	4951	2395
1348	4955	2391
1349	4958	2387
1350	4962	2383
1351	4965	2380
1352	4969	2376
1353	4973	2372
1354	4976	2369
1355	4980	2365
1356	4983	2361
1357	4987	2357
1358	4991	2354
1359	4994	2350
1360	4998	2346
1361	5002	2343
1362	5005	2339
1363	5009	2335
1364	5013	2332
1365	5017	2328
1366	5020	2324
1367	5024	2321
1368	5027	2317
1369	5031	2313
1370	5034	2309
1371	5038	2306
1372	5042	2302
1373	5045	2298
1374	5049	2295
1375	5053	2291
1376	5056	2287
1377	5060	2284
1378	5063	2280
1379	5067	2276
1380	5071	2273
1381	5074	2269
1382	5078	2265
1383	5082	2261
1384	5085	2258
1385	5088	2254
1386	5092	2250
1387	5096	2246
1388	5099	2243
1389	5103	2239
1390	5107	2235
1391	5110	2232
1392	5114	2228
1393	5117	2224
1394	5121	2221
1395	5124	2217
1396	5128	2213
1397	5132	2209
1398	5135	2206
1399	5139	2202
1400	5142	2198
1401	5146	2195
1402	5150	2191
1403	5154	2188
1404	5158	2184
1405	5161	2180
1406	5165	2176
1407	5169	2173
1408	5172	2169
1409	5176	2166
1410	5180	2162
1411	5184	2158
1412	5187	2155
1413	5191	2151
1414	5195	2147
1415	5199	2144
1416	5202	2140
1417	5206	2136
1418	5209	2133
1419	5213	2129
1420	5217	2125
1421	5220	2122
1422	5224	2118
1423	5228	2114
1424	5231	2111
1425	5235	2107
1426	5238	2103
1427	5242	2100
1428	5246	2096
1429	5250	2092
1430	5253	2088
1431	5257	2085
1432	5260	2081
1433	5264	2077
1434	5268	2074
1435	5271	2070
1436	5275	2066
1437	5279	2063
1438	5282	2059
1439	5286	2055
1440	5290	2052
1441	5293	2048
1442	5297	2044
1443	5300	2040
1444	5304	2037
1445	5307	2033
1446	5311	2029
1447	5315	2026
1448	5318	2022
1449	5322	2018
1450	5325	2015
1451	5329	2011
1452	5333	2007
1453	5336	2004
1454	5339	2000
1455	5343	1996
1456	5347	1992
1457	5350	1989
1458	5354	1985
1459	5357	1981
1460	5361	1977
1461	5365	1974
1462	5368	1970
1463	5372	1966
1464	5375	1963
1465	5379	1959
1466	5383	1955
1467	5386	1952
1468	5390	1948
1469	5394	1944
1470	5397	1941
1471	5400	1937
1472	5404	1933
1473	5408	1929
1474	5411	1926
1475	5415	1922
1476	5418	1918
1477	5422	1915
1478	5425	1911
1479	5429	1907
1480	5433	1903
1481	5436	1900
1482	5440	1896
1483	5443	1892
1484	5447	1889
1485	5451	1885
1486	5455	1881
1487	5458	1878
1488	5462	1874
1489	5466	1871
1490	5470	1867
1491	5473	1863
1492	5477	1859
1493	5480	1856
1494	5484	1852
1495	5487	1848
1496	5491	1845
1497	5494	1841
1498	5497	1837
1499	5501	1833
1500	5505	1830
1501	5509	1826
1502	5513	1823
1503	5516	1819
1504	5520	1815
1505	5523	1811
1506	5527	1808
1507	5530	1804
1508	5534	1800
1509	5538	1797
1510	5541	1793
1511	5545	1789
1512	5549	1786
1513	5552	1782
1514	5556	1778
1515	5559	1775
1516	5563	1771
1517	5567	1767
1518	5570	1763
1519	5574	1760
1520	5578	1756
1521	5582	1753
1522	5585	1749
1523	5589	1745
1524	5592	1741
1525	5596	1738
1526	5599	1734
1527	5603	1730
1528	5606	1727
1529	5610	1723
1530	5614	1719
1531	5617	1716
1532	5621	1712
1533	5625	1708
1534	5629	1705
1535	5632	1701
1536	5636	1697
1537	5640	1694
1538	5643	1690
1539	5647	1686
1540	5650	1683
1541	5654	1679
1542	5657	1675
1543	5661	1671
1544	5664	1668
1545	5667	1664
1546	5671	1660
1547	5675	1657
1548	5679	1653
1549	5682	1649
1550	5686	1646
1551	5690	1642
1552	5693	1638
1553	5696	1634
1554	5700	1631
1555	5704	1627
1556	5707	1623
1557	5711	1620
1558	5714	1616
1559	5718	1612
1560	5721	1609
1561	5725	1605
1562	5728	1601
1563	5732	1598
1564	5735	1594
1565	5739	1590
1566	5743	1587
1567	5747	1583
1568	5750	1579
1569	5754	1576
1570	5758	1572
1571	5762	1568
1572	5766	1565
1573	5770	1561
1574	5773	1557
1575	5777	1554
1576	5780	1550
1577	5784	1546
1578	5788	1543
1579	5792	1539
1580	5795	1535
1581	5799	1532
1582	5802	1528
1583	5806	1524
1584	5809	1521
1585	5813	1517
1586	5817	1513
1587	5820	1510
1588	5823	1506
1589	5827	1502
1590	5831	1499
1591	5834	1495
1592	5838	1491
1593	5841	1487
1594	5845	1484
1595	5849	1480
1596	5852	1476
1597	5856	1473
1598	5860	1469
1599	5863	1465
1600	5867	1462
1601	5871	1458
1602	5874	1454
